Íîìåğ ïàêåòà	Âğåìÿ	Øèğîòà	Äîëãîòà	Âûñîòà	fix GPS
187	21427	nan	nan	nan	0
190	21751	nan	nan	nan	0
191	21859	nan	nan	nan	0
192	21967	nan	nan	nan	0
193	22075	nan	nan	nan	0
194	22183	nan	nan	nan	0
195	22291	nan	nan	nan	0
196	22399	nan	nan	nan	0
197	22507	nan	nan	nan	0
198	22615	nan	nan	nan	0
199	22723	nan	nan	nan	0
200	22831	nan	nan	nan	0
201	22939	nan	nan	nan	0
202	23047	nan	nan	nan	0
203	23155	nan	nan	nan	0
204	23263	nan	nan	nan	0
205	23371	nan	nan	nan	0
206	23479	nan	nan	nan	0
207	23587	nan	nan	nan	0
208	23695	nan	nan	nan	0
209	23803	nan	nan	nan	0
210	23911	nan	nan	nan	0
211	24019	nan	nan	nan	0
212	24127	nan	nan	nan	0
213	24235	nan	nan	nan	0
214	24343	nan	nan	nan	0
215	24451	nan	nan	nan	0
216	24559	nan	nan	nan	0
217	24667	nan	nan	nan	0
218	24775	nan	nan	nan	0
219	24883	nan	nan	nan	0
220	24991	nan	nan	nan	0
221	25099	nan	nan	nan	0
222	25207	nan	nan	nan	0
223	25315	nan	nan	nan	0
224	25423	nan	nan	nan	0
225	25531	nan	nan	nan	0
226	25639	nan	nan	nan	0
227	25747	nan	nan	nan	0
228	25855	nan	nan	nan	0
229	25963	nan	nan	nan	0
230	26071	nan	nan	nan	0
231	26179	nan	nan	nan	0
232	26287	nan	nan	nan	0
233	26395	nan	nan	nan	0
234	26503	nan	nan	nan	0
235	26611	nan	nan	nan	0
236	26719	nan	nan	nan	0
237	26827	nan	nan	nan	0
238	26935	nan	nan	nan	0
239	27043	nan	nan	nan	0
240	27151	nan	nan	nan	0
241	27259	nan	nan	nan	0
242	27367	nan	nan	nan	0
243	27475	nan	nan	nan	0
244	27583	nan	nan	nan	0
245	27691	nan	nan	nan	0
246	27799	nan	nan	nan	0
247	27907	nan	nan	nan	0
248	28015	nan	nan	nan	0
249	28123	nan	nan	nan	0
250	28231	nan	nan	nan	0
251	28339	nan	nan	nan	0
252	28447	nan	nan	nan	0
253	28555	nan	nan	nan	0
254	28663	nan	nan	nan	0
255	28771	nan	nan	nan	0
256	28879	nan	nan	nan	0
257	28987	nan	nan	nan	0
258	29095	nan	nan	nan	0
259	29203	nan	nan	nan	0
260	29311	nan	nan	nan	0
261	29419	nan	nan	nan	0
262	29527	nan	nan	nan	0
263	29635	nan	nan	nan	0
264	29743	nan	nan	nan	0
265	29851	nan	nan	nan	0
266	29959	nan	nan	nan	0
267	30067	nan	nan	nan	0
268	30175	nan	nan	nan	0
269	30283	nan	nan	nan	0
270	30391	nan	nan	nan	0
271	30499	nan	nan	nan	0
272	30607	nan	nan	nan	0
273	30715	nan	nan	nan	0
274	30823	nan	nan	nan	0
275	30931	nan	nan	nan	0
276	31039	nan	nan	nan	0
277	31147	nan	nan	nan	0
278	31255	nan	nan	nan	0
279	31363	nan	nan	nan	0
280	31471	nan	nan	nan	0
281	31579	nan	nan	nan	0
282	31687	nan	nan	nan	0
283	31795	nan	nan	nan	0
284	31903	nan	nan	nan	0
285	32011	nan	nan	nan	0
286	32119	nan	nan	nan	0
287	32227	nan	nan	nan	0
288	32335	nan	nan	nan	0
289	32443	nan	nan	nan	0
290	32551	nan	nan	nan	0
291	32659	nan	nan	nan	0
292	32767	nan	nan	nan	0
293	32875	nan	nan	nan	0
294	32983	nan	nan	nan	0
295	33091	nan	nan	nan	0
296	33199	nan	nan	nan	0
297	33307	nan	nan	nan	0
298	33415	nan	nan	nan	0
299	33523	nan	nan	nan	0
300	33631	nan	nan	nan	0
301	33739	nan	nan	nan	0
302	33847	nan	nan	nan	0
303	33955	nan	nan	nan	0
304	34063	nan	nan	nan	0
305	34171	nan	nan	nan	0
306	34279	nan	nan	nan	0
307	34387	nan	nan	nan	0
308	34495	nan	nan	nan	0
309	34603	nan	nan	nan	0
310	34711	nan	nan	nan	0
311	34819	nan	nan	nan	0
312	34927	nan	nan	nan	0
313	35035	nan	nan	nan	0
314	35143	nan	nan	nan	0
315	35251	nan	nan	nan	0
316	35359	nan	nan	nan	0
317	35467	nan	nan	nan	0
318	35575	nan	nan	nan	0
319	35683	nan	nan	nan	0
320	35791	nan	nan	nan	0
321	35899	nan	nan	nan	0
322	36007	nan	nan	nan	0
323	36115	nan	nan	nan	0
324	36223	nan	nan	nan	0
325	36331	nan	nan	nan	0
326	36439	nan	nan	nan	0
327	36547	nan	nan	nan	0
328	36655	nan	nan	nan	0
329	36763	nan	nan	nan	0
330	36871	nan	nan	nan	0
331	36979	nan	nan	nan	0
332	37087	nan	nan	nan	0
333	37195	nan	nan	nan	0
334	37303	nan	nan	nan	0
335	37411	nan	nan	nan	0
336	37519	nan	nan	nan	0
337	37627	nan	nan	nan	0
338	37735	nan	nan	nan	0
339	37843	nan	nan	nan	0
340	37951	nan	nan	nan	0
341	38059	nan	nan	nan	0
342	38167	nan	nan	nan	0
343	38275	nan	nan	nan	0
344	38383	nan	nan	nan	0
345	38491	nan	nan	nan	0
346	38599	nan	nan	nan	0
347	38707	nan	nan	nan	0
