Номер пакета	Время	acc_X	acc_Y	acc_Z	gyro_X	gyro_Y	gyro_Z	mag_X	mag_Y	mag_Z	Лидар
11051	171826	-634	-1832	1469	69	158	71	340	606	833	11521
11068	172087	-339	-1057	800	436	-69	-395	316	644	832	11521
12659	196636	-1254	-996	1625	233	125	-212	205	571	551	11521
12660	196651	-1222	-992	1598	185	104	-252	194	562	556	11521
12664	196711	-1119	-1036	1403	55	391	-249	194	573	542	11521
12667	196759	-1192	-1073	1403	78	436	-417	193	574	549	11521
12668	196774	-1182	-1085	1419	61	401	-451	208	578	563	11521
12680	196960	-1167	-1266	1054	-512	682	82	174	624	598	11521
12681	196975	-1213	-1292	1233	-537	690	305	182	631	606	11521
12682	196990	-1247	-1314	1318	-593	628	405	197	632	618	11521
12683	197005	-1251	-1342	1415	-790	414	523	193	632	632	11521
12688	197083	-1295	-1279	932	-1228	24	619	249	647	700	11521
12689	197098	-1305	-1294	943	-1245	31	692	248	650	717	11521
12691	197128	-1281	-1315	836	-1480	-113	727	271	652	729	11521
12692	197143	-1227	-1254	868	-1543	-140	714	261	659	748	11521
15660	242935	-1396	-788	1147	49	-83	-63	294	450	500	11521
15667	243043	-1494	-743	1206	118	-5	66	296	436	500	11521
15947	247363	-1166	-838	1385	89	-21	-63	172	436	438	11521
16072	249292	-1295	-1108	947	-21	125	-190	223	528	551	11521
16073	249307	-1303	-1100	931	-6	124	-227	222	537	539	11521
16178	250927	-1118	-701	1745	-298	-67	-235	317	407	511	11521
16180	250960	-1236	-640	1779	-263	452	-9	318	415	516	11521
16203	251314	-1388	-1091	452	-264	1540	174	430	467	655	11521
16213	251467	-1794	-1015	-96	-985	1360	582	571	434	883	11521
16215	251500	-1883	-1095	-379	-1171	1234	632	615	416	952	11521
16216	251515	-1950	-1189	-456	-1179	1215	606	619	416	960	11521
16217	251530	-1995	-1314	-652	-1289	1154	495	620	405	980	11521
16218	251545	-2030	-1291	-597	-1326	1189	419	644	391	1030	11521
16220	251575	-2028	-1052	-394	-1184	734	548	653	385	1066	11521
16221	251590	-2110	-948	-377	-993	399	712	651	376	1070	11521
16222	251608	-2202	-1184	-240	-1023	429	613	662	356	1091	11521
16224	251638	-2005	-1192	-352	-1309	149	-86	672	350	1119	11521
16225	251653	-1863	-1173	-382	-1396	39	-225	672	363	1132	11521
16226	251668	-1642	-1019	-582	-1449	-135	-343	674	365	1137	11521
16227	251683	-1557	-930	-669	-1424	-97	-287	667	367	1146	11521
16228	251698	-1530	-906	-699	-1306	194	-42	661	359	1166	11521
16231	251746	-1578	-973	-593	-1040	492	55	658	361	1208	11521
16234	251791	-1459	-792	-646	-779	-24	-199	652	355	1227	11521
16236	251824	-1478	-710	-674	-421	-258	54	670	359	1240	11521
16237	251839	-1504	-774	-721	-322	-263	112	669	355	1236	11521
16238	251854	-1533	-881	-766	-219	-100	39	662	351	1231	11521
16239	251869	-1537	-917	-821	-214	71	-159	679	352	1239	11521
16240	251884	-1551	-919	-866	-220	124	-247	673	350	1248	11521
16241	251899	-1546	-826	-840	-178	176	-396	667	364	1255	11521
16242	251914	-1542	-775	-807	-70	90	-430	667	365	1246	11521
16243	251932	-1535	-802	-769	-46	35	-430	664	371	1256	11521
16245	251962	-1485	-697	-724	-105	-214	-507	656	384	1251	11521
16246	251977	-1422	-704	-802	-105	-300	-478	658	388	1255	11521
16247	251992	-1396	-728	-854	-112	-291	-454	648	394	1251	11521
16248	252007	-1360	-757	-923	-95	-186	-380	651	403	1245	11521
16249	252022	-1378	-731	-880	-18	-41	-261	645	403	1243	11521
16251	252055	-1456	-757	-798	24	128	-49	637	397	1235	11521
16252	252070	-1467	-806	-816	18	158	-3	652	403	1250	11521
16253	252085	-1466	-874	-858	-34	233	28	650	405	1255	11521
16254	252100	-1459	-906	-874	-53	258	47	655	406	1258	11521
16255	252115	-1471	-908	-926	-71	298	108	654	397	1257	11521
16257	252148	-1497	-943	-937	-103	458	212	646	401	1275	11521
16258	252163	-1544	-939	-951	-158	555	245	643	394	1290	11521
16262	252223	-1622	-978	-1179	-179	698	321	643	375	1332	11521
16263	252238	-1642	-887	-1159	-163	684	276	642	364	1343	11521
16264	252256	-1674	-837	-1042	-166	631	270	641	364	1335	11521
16265	252271	-1715	-780	-998	-184	372	214	651	359	1359	11521
16266	252286	-1712	-767	-1002	-220	274	141	652	356	1362	11521
16267	252301	-1653	-698	-1017	-278	158	-21	645	350	1361	11521
16268	252316	-1538	-684	-1126	-275	80	-66	647	357	1368	11521
16269	252331	-1496	-692	-1153	-273	118	-55	641	347	1353	11521
16270	252346	-1491	-620	-1131	-214	234	13	649	347	1381	11521
16272	252379	-1584	-613	-1115	-149	380	130	646	343	1384	11521
16916	262315	782	-1889	-178	540	-1114	-230	-159	782	1087	11521
16923	262423	437	-1934	-343	47	-525	-302	-170	786	1077	11521
16931	262546	706	-1858	-246	-267	688	570	-159	790	1075	11521
17087	264952	557	-1990	-147	-668	1667	-23	-86	758	1161	11521
17088	264967	546	-1971	-142	-619	1470	-19	-94	767	1155	11521
17091	265015	512	-1941	-223	-305	403	2	-81	764	1174	11521
17092	265030	492	-1937	-284	-195	68	-8	-80	776	1186	11521
17093	265045	509	-1932	-299	-143	-62	-28	-90	766	1185	11521
17095	265075	514	-1953	-308	12	-374	-83	-85	767	1188	11521
17096	265090	505	-1917	-260	85	-558	-121	-85	765	1173	11521
17098	265123	531	-1912	-254	150	-945	-149	-82	771	1178	11521
